"","article","id","eva_score_rda_f1_01d","eva_score_rda_f1_01m","eva_score_rda_f1_02d","eva_score_rda_f1_02m","eva_score_rda_f2_01m","eva_score_rda_f3_01m","eva_score_rda_f4_01m","eva_score_rda_a1_01m","eva_score_rda_a1_02d","eva_score_rda_a1_02m","eva_score_rda_a1_03d","eva_score_rda_a1_03m","eva_score_rda_a1_04d","eva_score_rda_a1_04m","eva_score_rda_a1_05d","eva_score_rda_a1_1_01d","eva_score_rda_a1_1_01m","eva_score_rda_a1_2_01d","eva_score_rda_a2_01m","eva_score_rda_i1_01d","eva_score_rda_i1_01m","eva_score_rda_i1_02d","eva_score_rda_i1_02m","eva_score_rda_i2_01d","eva_score_rda_i2_01m","eva_score_rda_i3_01d","eva_score_rda_i3_01m","eva_score_rda_i3_02d","eva_score_rda_i3_02m","eva_score_rda_i3_03m","eva_score_rda_i3_04m","eva_score_rda_r1_01m","eva_score_rda_r1_1_01m","eva_score_rda_r1_1_02m","eva_score_rda_r1_1_03m","eva_score_rda_r1_2_01m","eva_score_rda_r1_2_02m","eva_score_rda_r1_3_01d","eva_score_rda_r1_3_01m","eva_score_rda_r1_3_02d","eva_score_rda_r1_3_02m","total_score"
"11","10.1111/cge.13977","https://www.ncbi.nlm.nih.gov/nuccore/NM_013275.6?report=fasta&to=9301",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"12","10.1111/medu.14596","https://osf.io/92swt/?view_only=faec41999e4848ef9535139dfe982c1c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"13","10.1111/nan.12741","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168808",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"14","10.1111/tbed.14266","https://www.ncbi.nlm.nih.gov/nuccore/MW057694",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"15","10.1111/tbed.14406","https://www.ncbi.nlm.nih.gov/nuccore/MW072297",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,15.85
"16","10.1136/bmjopen-2021-053096","https://doi.org/10.5281/zenodo.4669937",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"17","10.1136/jitc-2020-002226","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE175699",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"18","10.1136/jitc-2021-002844","https://www.ebi.ac.uk/ena/browser/view/PRJEB35507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"19","10.1158/0008-5472.CAN-21-1621","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90805",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"20","10.1158/2159-8290.CD-21-0276","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163579",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"21","10.1158/2159-8290.CD-21-0276","https://osf.io/bupge/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"22","10.1158/2326-6066.CIR-20-0555","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165332",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"23","10.1158/2643-3230.BCD-19-0059","https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR12801265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"24","10.1172/jci.insight.145994","https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR13999246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"25","10.1172/jci.insight.150107","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE180557",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"26","10.1172/JCI139076","https://www.ebi.ac.uk/pride/archive/projects/PXD014260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"27","10.1182/bloodadvances.2020003230","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158596",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"28","10.1183/13993003.01470-2021","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168499",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"29","10.1186/s12879-021-06829-7","https://osf.io/er6b8/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"30","10.1186/s12885-021-08186-9","https://doi.org/10.6084/m9.figshare.14524716.v1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"31","10.1186/s12887-021-02735-8","https://osf.io/xwnr3/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"32","10.1186/s12903-021-01911-7","https://doi.org/10.5281/zenodo.5159386",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"33","10.1186/s12967-021-02774-w","https://doi.org/10.6084/m9.figshare.14450727.v1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"34","10.1186/s12983-021-00437-6","https://doi.org/10.17605/OSF.IO/AKRH9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"35","10.1186/s13024-021-00498-5","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165263",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"36","10.1186/s13073-021-00926-7","https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR10743233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"37","10.1186/s13073-021-00926-7","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141861",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"38","10.1186/s13099-021-00437-1","https://figshare.com/articles/dataset/Additional_file_1_of_The_glycosyltransferase_ST3GAL2_is_regulated_by_miR-615-3p_in_the_intestinal_tract_of_Campylobacter_jejuni_infected_mice/14870435",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"39","10.1186/s13148-021-01176-5","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163521",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"40","10.1186/s13148-021-01190-7","https://figshare.com/articles/dataset/Additional_file_1_of_Epigenetic_adaptations_of_the_masticatory_mucosa_to_periodontal_inflammation/16928628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"41","10.1186/s13256-021-03164-y","https://www.ncbi.nlm.nih.gov/nuccore/MT107888",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"42","10.1186/s13321-021-00511-5","https://github.com/volkamerlab/cptox21_manuscript_SI/tree/master/data/data_signatures",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"43","10.1186/s40168-020-00992-w","https://www.ebi.ac.uk/ena/browser/view/PRJEB39814?show=reads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"44","10.1186/s40168-021-01109-7","https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR12921007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"45","10.1242/dev.199307","https://www.ebi.ac.uk/ena/browser/view/PRJEB46911?show=reads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"46","10.12688/wellcomeopenres.16893.2","https://osf.io/zy7vs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"47","10.1371/journal.pbio.3001009","https://doi.org/10.6084/m9.figshare.14527317.v4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"48","10.1371/journal.pbio.3001107","https://osf.io/7xc23/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"49","10.1371/journal.pbio.3001149","https://doi.org/10.5281/zenodo.4498214",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"50","10.1371/journal.pbio.3001161","https://doi.org/10.17605/OSF.IO/B5296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"51","10.1371/journal.pbio.3001177","https://doi.org/10.17605/OSF.IO/W3JUH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"52","10.1371/journal.pbio.3001177","https://figshare.com/articles/dataset/Reporting_assessments_for_sample_of_110_preclinical_systematic_reviews_/14543924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"53","10.1371/journal.pbio.3001384","https://figshare.com/articles/dataset/This_file_contains_all_raw_data_underlying_the_figures_/17226515",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"54","10.1371/journal.pbio.3001468","https://figshare.com/articles/dataset/Numerical_values_underlying_summary_data_displayed_in_figures_/17123529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,10.98
"55","10.1371/journal.pcbi.1008630","https://dx.doi.org/10.5281/zenodo.4064148",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"56","10.1371/journal.pcbi.1009515","https://www.ebi.ac.uk/ena/browser/view/PRJEB40670?show=reads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"57","10.1371/journal.pcbi.1009515","https://itbgit.biologie.hu-berlin.de/dorel/phosphoproteomics_tnb_perturbations/-/blob/master/210113.proteinGroups.filteredNormalz.txt?expanded=true&viewer=simple",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,10.98
"58","10.1371/journal.pgen.1009201","https://figshare.com/articles/dataset/All_somatic_SNVs_and_small_insertions_deletions_indels_detected_in_the_study_/13513223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"59","10.1371/journal.pgen.1009308","https://figshare.com/articles/dataset/NSC23766_treatment_of_wild_type_mouse_sperm_/13714335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"60","10.1371/journal.pgen.1009619","https://figshare.com/articles/dataset/Raw_data_of_the_lipidomics_experiments_including_sample_identifiers_/14831532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"61","10.1371/journal.pgen.1009679","https://figshare.com/articles/dataset/Sources_of_the_CNV-case_cohorts_used_in_this_study_/15077835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"62","10.1371/journal.pmed.1003750","https://figshare.com/articles/journal_contribution/Data_basis_for_meta-analyses_and_meta-regression_analyses_/16415146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"63","10.1371/journal.pntd.0009277","https://figshare.com/articles/dataset/Data_table_depicting_overall_typing_results_/14311834",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"64","10.1371/journal.pntd.0009311","https://www.ncbi.nlm.nih.gov/nuccore/MW383507",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"65","10.1371/journal.pntd.0009863","https://figshare.com/articles/dataset/Dataset_1_/16806162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"66","10.1371/journal.pone.0245143","https://doi.org/10.5281/zenodo.4049178",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"67","10.1371/journal.pone.0245880","https://figshare.com/articles/dataset/Tacrolimus_PK_model_dataset_/13630924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"68","10.1371/journal.pone.0246819","https://figshare.com/articles/dataset/Raw_data_/13866240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"69","10.1371/journal.pone.0246956","https://figshare.com/articles/dataset/S1_Data_-/14041848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"70","10.1371/journal.pone.0247738","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE166400",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"71","10.1371/journal.pone.0247796","https://figshare.com/articles/dataset/S1_Data_-/14162457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"72","10.1371/journal.pone.0247918","https://doi.org/10.11588/data/FSPQL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,10.98
"73","10.1371/journal.pone.0248107","https://osf.io/t3mcj/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"74","10.1371/journal.pone.0249069","https://figshare.com/articles/dataset/S1_Dataset_-/14409535",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"75","10.1371/journal.pone.0249813","https://doi.org/10.5281/zenodo.4135394",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"76","10.1371/journal.pone.0249837","https://figshare.com/articles/dataset/Raw_data_of_all_MRSA_outbreak_reports_included_/14383401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"77","10.1371/journal.pone.0250362","https://figshare.com/articles/dataset/Raw_data_1_/14549776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"78","10.1371/journal.pone.0251544","https://doi.org/10.5281/zenodo.3718578",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"79","10.1371/journal.pone.0253762","https://figshare.com/articles/dataset/S1_Dataset_-/14976465",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"80","10.1371/journal.pone.0253779","https://figshare.com/articles/dataset/Supplementary_study_data_/14894303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"81","10.1371/journal.pone.0255490","https://doi.org/10.6084/m9.figshare.13251428",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"82","10.1371/journal.pone.0255800","http://dx.doi.org/10.25532/OPARA-120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,10.98
"83","10.1371/journal.pone.0255800","https://osf.io/bdsqv/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"84","10.1371/journal.pone.0257183","https://figshare.com/articles/dataset/S1_Dataset_-/16602615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"85","10.1371/journal.pone.0257571","https://figshare.com/articles/dataset/S1_Dataset_-/16662303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,10.98
"86","10.1371/journal.pone.0258240","https://doi.org/10.6084/m9.figshare.16680565.v2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"87","10.1371/journal.pone.0258958","https://figshare.com/articles/dataset/Dataset_for_60_pats_CPI_/16925496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,10.98
"88","10.1371/journal.pone.0259185","https://figshare.com/articles/dataset/Somatic_variants_of_candidate_driver_genes_in_MSH3-deficient_adenomas_/17094902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"89","10.1371/journal.ppat.1009675","https://www.ncbi.nlm.nih.gov/nuccore/MT776952",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"90","10.1371/journal.ppat.1009675","https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR9891693",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
"91","10.1371/journal.ppat.1009775","https://www.wwpdb.org/pdb?id=pdb_00006zue",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"92","10.1371/journal.ppat.1009775","https://www.ebi.ac.uk/emdb/EMD-10611",0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,18.29
"93","10.1371/journal.ppat.1009775","https://www.ebi.ac.uk/pride/archive/projects/PXD020453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.66
