"article";"guid";"eva_score_rda_f1_01d";"eva_score_rda_f1_01m";"eva_score_rda_f1_02d";"eva_score_rda_f1_02m";"eva_score_rda_f2_01m";"eva_score_rda_f3_01m";"eva_score_rda_f4_01m";"eva_score_rda_a1_01m";"eva_score_rda_a1_02d";"eva_score_rda_a1_02m";"eva_score_rda_a1_03d";"eva_score_rda_a1_03m";"eva_score_rda_a1_04d";"eva_score_rda_a1_04m";"eva_score_rda_a1_05d";"eva_score_rda_a1_1_01d";"eva_score_rda_a1_1_01m";"eva_score_rda_a1_2_01d";"eva_score_rda_a2_01m";"eva_score_rda_i1_01d";"eva_score_rda_i1_01m";"eva_score_rda_i1_02d";"eva_score_rda_i1_02m";"eva_score_rda_i2_01d";"eva_score_rda_i2_01m";"eva_score_rda_i3_01d";"eva_score_rda_i3_01m";"eva_score_rda_i3_02d";"eva_score_rda_i3_02m";"eva_score_rda_i3_03m";"eva_score_rda_i3_04m";"eva_score_rda_r1_01m";"eva_score_rda_r1_1_01m";"eva_score_rda_r1_1_02m";"eva_score_rda_r1_1_03m";"eva_score_rda_r1_2_01m";"eva_score_rda_r1_2_02m";"eva_score_rda_r1_3_01d";"eva_score_rda_r1_3_01m";"eva_score_rda_r1_3_02d";"eva_score_rda_r1_3_02m";"eva_f1";"eva_f2";"eva_f3";"eva_f4";"eva_a1";"eva_a1.1";"eva_a1.2";"eva_a2";"eva_i1";"eva_i2";"eva_i3";"eva_r1";"eva_r1.1";"eva_r1.2";"eva_r1.3";"total_score"
"10.3390/ijms222112031";"http://doi.org/10.5281/zenodo.5524539";100;100;0;0;87,5;100;100;100;100;87,5;100;87,5;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;84,38;100;0;50;25;0;0;87,5;0;0;75;46,34
"10.1002/14651858.CD015045";"https://doi.org/10.5281/zenodo.5377507";100;100;0;0;87,5;100;100;100;100;83,3333333333333;100;83,3333333333333;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;83,33;100;0;50;25;0;0;87,5;0;0;75;46,14
"10.1007/s00247-021-05109-5";"https://doi.org/10.5281/zenodo.4906565";100;100;0;0;75;100;100;100;100;71,4285714285714;100;71,4285714285714;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;100;0;100;100;50;75;100;100;80,36;100;0;50;25;0;0;75;0;0;75;44,95
"10.1038/s42003-021-02664-3";"https://doi.org/10.5281/zenodo.5235706";100;100;0;0;87,5;100;100;100;100;76;100;76;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;81,5;100;0;50;25;0;0;87,5;0;0;75;45,78
"10.1038/s41598-020-80408-9";"https://doi.org/10.5281/zenodo.3876271";0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;50;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;100;0;0;0;0;25;50;0;50;25;0;0;0;0;0;75;18,29
"10.1038/s41586-021-04177-9";"https://doi.org/10.5281/zenodo.4728981";0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;50;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;100;0;0;0;0;25;50;0;50;25;0;0;0;0;0;75;18,29
"10.1038/s41467-021-23807-4";"https://doi.org/10.5281/zenodo.3478502";100;100;0;0;75;100;100;100;100;84;100;84;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;100;0;100;100;50;75;100;100;83,5;100;0;50;25;0;0;75;0;0;75;45,56
"10.1038/s41467-021-21994-8";"https://doi.org/10.5281/zenodo.3744152";100;100;0;0;87,5;100;100;100;100;80,9523809523809;100;80,9523809523809;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;82,74;100;0;50;25;0;0;87,5;0;0;75;46,02
"10.1038/s41467-020-20850-5";"https://doi.org/10.5281/zenodo.3992607";100;100;0;0;87,5;100;100;100;100;73,6842105263158;100;73,6842105263158;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;80,92;100;0;50;25;0;0;87,5;0;0;75;45,67
"10.1007/s10071-021-01482-8";"https://doi.org/10.5281/zenodo.4223729";100;100;0;0;75;100;100;100;100;69,2307692307692;100;69,2307692307692;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;100;0;100;100;50;75;100;100;79,81;100;0;50;25;0;0;75;0;0;75;44,84
"10.1016/j.isci.2021.102151";"https://zenodo.org/record/4031204#.YCpK_S1h1Bw";0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;50;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;100;0;0;0;0;25;50;0;50;25;0;0;0;0;0;75;18,29
"10.1016/j.jclinepi.2021.12.012";"https://doi.org/10.5281/zenodo.5141343";100;100;0;0;87,5;100;100;100;100;84,6153846153846;100;84,6153846153846;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;83,65;100;0;50;25;0;0;87,5;0;0;75;46,2
"10.1038/s41586-021-03986-2";"https://doi.org/10.5281/zenodo.3527540";100;100;0;0;75;100;100;100;100;85,2941176470588;100;85,2941176470588;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;100;0;100;100;50;75;100;100;83,82;100;0;50;25;0;0;75;0;0;75;45,62
"10.1126/sciadv.abg4693";"https://doi.org/10.5281/zenodo.4670433";100;100;0;0;75;100;100;100;100;69,2307692307692;100;69,2307692307692;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;100;0;100;100;50;75;100;100;79,81;100;0;50;25;0;0;75;0;0;75;44,84
"10.1126/science.abi5273";"https://doi.org/10.5281/zenodo.4945655";100;100;0;0;75;100;100;100;100;71,4285714285714;100;71,4285714285714;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;100;0;100;100;50;75;100;100;80,36;100;0;50;25;0;0;75;0;0;75;44,95
"10.1016/j.cortex.2020.06.006";"https://doi.org/10.5281/zenodo.3479558";100;100;0;0;75;100;100;100;100;83,3333333333333;100;83,3333333333333;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;100;0;100;100;50;75;100;100;83,33;100;0;50;25;0;0;75;0;0;75;45,53
"10.1186/s13059-021-02306-1";"10.5281/zenodo.4454489";100;100;0;0;75;100;100;100;100;76,1904761904762;100;76,1904761904762;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;100;0;100;100;50;75;100;100;81,55;100;0;50;25;0;0;75;0;0;75;45,18
"10.3389/fonc.2020.578380";"https://doi.org/10.5281/zenodo.3922212";100;100;0;0;87,5;100;100;100;100;77,7777777777778;100;77,7777777777778;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;81,94;100;0;50;25;0;0;87,5;0;0;75;45,87
"10.3389/fnins.2021.742652";"https://doi.org/10.5281/zenodo.5746691";100;100;0;0;75;100;100;100;100;73,3333333333333;100;73,3333333333333;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;100;0;100;100;50;75;100;100;80,83;100;0;50;25;0;0;75;0;0;75;45,04
"10.12688/wellcomeopenres.16661.2";"10.5281/zenodo.4640140";100;100;0;0;75;100;100;100;100;61,5384615384615;100;61,5384615384615;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;100;0;100;100;50;75;100;100;77,88;100;0;50;25;0;0;75;0;0;75;44,47
"10.1016/j.xhgg.2021.100042";"https://doi.org/10.5281/zenodo.3572799";100;100;0;0;87,5;100;100;100;100;75;100;75;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;81,25;100;0;50;25;0;0;87,5;0;0;75;45,73
"10.1038/s42003-021-02307-7";"https://doi.org/10.5281/zenodo.4768563";100;100;0;0;75;100;100;100;100;71,4285714285714;100;71,4285714285714;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;100;0;100;100;50;75;100;100;80,36;100;0;50;25;0;0;75;0;0;75;44,95
"10.1093/braincomms/fcab027";"https://doi.org/10.5281/zenodo.4425256";100;100;0;0;87,5;100;100;100;100;82,1428571428571;100;82,1428571428571;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;83,04;100;0;50;25;0;0;87,5;0;0;75;46,08
"10.1002/14651858.CD014963";"https://doi.org/10.5281/zenodo.6500842";100;100;0;0;87,5;100;100;100;100;85,1851851851852;100;85,1851851851852;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;83,8;100;0;50;25;0;0;87,5;0;0;75;46,23
"10.1038/s41589-020-00724-z";"https://doi.org/10.5281/zenodo.3736430";0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;50;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;100;0;0;0;0;25;50;0;50;25;0;0;0;0;0;75;18,29
"10.1073/pnas.2014876118";"https://doi.org/10.5281/zenodo.4671006";100;100;0;0;75;100;100;100;100;81,4814814814815;100;81,4814814814815;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;100;0;100;100;50;75;100;100;82,87;100;0;50;25;0;0;75;0;0;75;45,44
"10.1073/pnas.2108157118";"https://doi.org/10.5281/zenodo.5203142";100;100;0;0;75;100;100;100;100;81,8181818181818;100;81,8181818181818;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;100;0;100;100;50;75;100;100;82,95;100;0;50;25;0;0;75;0;0;75;45,45
"10.1080/15592294.2021.1878723";"doi.org/10.5281/zenodo.4327115";100;100;0;0;87,5;100;100;100;100;86,2068965517241;100;86,2068965517241;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;84,05;100;0;50;25;0;0;87,5;0;0;75;46,28
"10.1177/17474930211006286";"https://doi.org/10.5281/zenodo.3899830";100;100;0;0;87,5;100;100;100;100;77,7777777777778;100;77,7777777777778;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;81,94;100;0;50;25;0;0;87,5;0;0;75;45,87
