"article";"id";"repository";"license_name";"repository_type";"repository_re3data";"fuji_percent";"fuji_percent_f";"fuji_percent_a";"fuji_percent_i";"fuji_percent_r";"fuji_percent_f1";"fuji_percent_f2";"fuji_percent_f3";"fuji_percent_f4";"fuji_percent_a1";"fuji_percent_i1";"fuji_percent_i2";"fuji_percent_i3";"fuji_percent_r1";"fuji_percent_r1_1";"fuji_percent_r1_2";"fuji_percent_r1_3";"fuji_FsF_F1_01D";"fuji_FsF_F1_02D";"fuji_FsF_F2_01M";"fuji_FsF_F3_01M";"fuji_FsF_F4_01M";"fuji_FsF_A1_01M";"fuji_FsF_A1_02M";"fuji_FsF_A1_03D";"fuji_FsF_I1_01M";"fuji_FsF_I2_01M";"fuji_FsF_I3_01M";"fuji_FsF_R1_01MD";"fuji_FsF_R1.1_01M";"fuji_FsF_R1.2_01M";"fuji_FsF_R1.3_01M";"fuji_FsF_R1.3_02D";"fair_enough_score";"fair_enough_score_total";"fair_enough_score_percent";"fair_enough_score_metrics_count";"fair_enough_score_metrics_percent";"fair_enough_xml_document";"fair_enough_Gen2_FM_F1B_metadata";"fair_enough_Gen2_FM_F1A";"fair_enough_Gen2_FM_F2B";"fair_enough_Gen2_FM_F2A";"fair_enough_Gen2_FM_F3_data";"fair_enough_Gen2_FM_F3_metadata";"fair_enough_Gen2_FM_F4";"fair_enough_Gen2_FM_A1.1_data";"fair_enough_Gen2_FM_A1.1_metadata";"fair_enough_Gen2_FM_A1.2_data";"fair_enough_Gen2_FM_A1.2_metadata";"fair_enough_Gen2_FM_A2";"fair_enough_Gen2_FM_I1B_data";"fair_enough_Gen2_FM_I1A_data";"fair_enough_Gen2_FM_I1B_metadata";"fair_enough_Gen2_FM_I1A_metadata";"fair_enough_Gen2_FM_I2B";"fair_enough_Gen2_FM_I2A";"fair_enough_Gen2_FM_I3";"fair_enough_Gen2_FM_R1.1_metadata";"fair_enough_Gen2_FM_R1.1_data";"fair_enough_f1";"fair_enough_f2";"fair_enough_f3";"fair_enough_f4";"fair_enough_a1.1";"fair_enough_a1.2";"fair_enough_a2";"fair_enough_i1";"fair_enough_i2";"fair_enough_i3";"fair_enough_r1.1";"fair_checker_score";"checker_percent_f";"checker_percent_a";"checker_percent_i";"checker_percent_r";"fair_checker_f1";"fair_checker_f2";"fair_checker_a1.1";"fair_checker_a1.2";"fair_checker_i1";"fair_checker_i2";"fair_checker_i3";"fair_checker_r1.1";"fair_checker_r1.2";"fair_checker_r1.3";"fair_checker_F1A";"fair_checker_F1B";"fair_checker_F2A";"fair_checker_F2B";"fair_checker_A1.1";"fair_checker_A1.2";"fair_checker_I1";"fair_checker_I2";"fair_checker_I3";"fair_checker_R1.1";"fair_checker_R1.2";"fair_checker_R1.3"
"10.1186/s12887-021-02735-8";"https://osf.io/xwnr3/";"OSF";"NULL";"general-purpose repository";"Open Science Framework";29,17;42,86;33,33;25;20;50;50;0;50;33,33;50;0;0;25;0;50;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;0;10;22;45,45;7;31,82;NA;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;50;100;0;0;50;0;0;50;0;50;0;54,17;75;50;33,33;50;100;50;100;0;50;50;0;0;100;50;2;2;1;1;2;0;1;1;0;0;2;1
"10.1186/s12903-021-01911-7";"https://doi.org/10.5281/zenodo.5159386";"Zenodo";"CC BY";"general-purpose repository";"Zenodo";75;100;66,67;75;60;100;100;100;100;66,67;100;0;100;50;100;50;50;1;1;2;1;2;1;1;0;2;0;1;2;2;1;0;1;15;22;68,18;11;50;NA;1;1;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;1;1;0;1;100;100;0;0;50;50;0;50;50;50;50;91,67;87,5;100;83,33;100;100;75;100;100;50;100;100;100;100;100;2;2;1;2;2;2;1;2;2;2;2;2
"10.1186/s12967-021-02774-w";"https://doi.org/10.6084/m9.figshare.14450727.v1";"figshare";"CC BY;CC0";"general-purpose repository";"figshare";70,83;100;66,67;75;50;100;100;100;100;66,67;100;0;100;25;100;50;50;1;1;2;1;2;0;1;1;2;0;1;1;2;1;0;1;17;22;77,27;15;68,18;NA;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;1;1;0;1;100;100;100;0;100;100;0;50;50;50;50;91,67;87,5;100;83,33;100;100;75;100;100;50;100;100;100;100;100;2;2;1;2;2;2;1;2;2;2;2;2
"10.1186/s12983-021-00437-6";"https://doi.org/10.17605/OSF.IO/AKRH9";"OSF";"CC BY";"general-purpose repository";"Open Science Framework";52,08;71,43;50;50;40;100;50;0;100;50;100;0;0;25;100;50;0;1;1;1;0;2;0,5;1;0;2;0;0;1;2;1;0;0;13;22;59,09;10;45,45;NA;1;1;1;1;0;1;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;100;100;50;0;50;50;0;50;0;50;0;79,17;75;100;66,67;83,33;100;50;100;100;50;50;100;100;100;50;2;2;1;1;2;2;1;1;2;2;2;1
"10.1186/s13099-021-00437-1";"https://figshare.com/articles/dataset/Additional_file_1_of_The_glycosyltransferase_ST3GAL2_is_regulated_by_miR-615-3p_in_the_intestinal_tract_of_Campylobacter_jejuni_infected_mice/14870435";"figshare";"CC BY;CC0";"general-purpose repository";"figshare";70,83;100;66,67;75;50;100;100;100;100;66,67;100;0;100;25;100;50;50;1;1;2;1;2;0;1;1;2;0;1;1;2;1;0;1;12;22;54,55;12;54,55;NA;0;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1;50;100;50;0;100;50;0;50;50;50;50;83,33;87,5;100;50;100;100;75;100;100;50;100;0;100;100;100;2;2;1;2;2;2;1;2;0;2;2;2
"10.1186/s13148-021-01190-7";"https://figshare.com/articles/dataset/Additional_file_1_of_Epigenetic_adaptations_of_the_masticatory_mucosa_to_periodontal_inflammation/16928628";"figshare";"CC BY;CC0";"general-purpose repository";"figshare";70,83;100;66,67;75;50;100;100;100;100;66,67;100;0;100;25;100;50;50;1;1;2;1;2;0;1;1;2;0;1;1;2;1;0;1;12;22;54,55;12;54,55;NA;0;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1;50;100;50;0;100;50;0;50;50;50;50;83,33;87,5;100;50;100;100;75;100;100;50;100;0;100;100;100;2;2;1;2;2;2;1;2;0;2;2;2
"10.1186/s13321-021-00511-5";"https://github.com/volkamerlab/cptox21_manuscript_SI/tree/master/data/data_signatures";"GitHub";NA;"general-purpose repository";"GitHub";4,17;14,29;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;22;22,73;6;27,27;NA;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;50;100;0;0;50;0;0;50;0;0;0;37,5;50;50;33,33;16,67;50;50;100;0;50;50;0;0;0;50;2;0;1;1;2;0;1;1;0;0;0;1
"10.12688/wellcomeopenres.16893.2";"https://osf.io/zy7vs";"OSF";"CC0";"general-purpose repository";"Open Science Framework";4,17;14,29;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;22;13,64;2;9,09;NA;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;50;0;0;0;0;0;0;37,5;50;50;33,33;16,67;50;50;100;0;50;50;0;0;0;50;2;0;1;1;2;0;1;1;0;0;0;1
"10.1371/journal.pbio.3001009";"https://doi.org/10.6084/m9.figshare.14527317.v4";"figshare";"CC BY";"general-purpose repository";"figshare";70,83;100;66,67;75;50;100;100;100;100;66,67;100;0;100;25;100;50;50;1;1;2;1;2;0;1;1;2;0;1;1;2;1;0;1;NA;NA;NA;15;68,18;TRUE;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;1;1;0;1;100;100;100;0;100;100;0;50;50;50;50;91,67;87,5;100;83,33;100;100;75;100;100;50;100;100;100;100;100;2;2;1;2;2;2;1;2;2;2;2;2
"10.1371/journal.pbio.3001107";"https://osf.io/7xc23/";"OSF";"CC BY";"general-purpose repository";"Open Science Framework";4,17;14,29;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;22;13,64;2;9,09;NA;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;50;0;0;0;0;0;0;37,5;50;50;33,33;16,67;50;50;100;0;50;50;0;0;0;50;2;0;1;1;2;0;1;1;0;0;0;1
"10.1371/journal.pbio.3001149";"https://doi.org/10.5281/zenodo.4498214";"Zenodo";"CC BY";"general-purpose repository";"Zenodo";79,17;100;100;75;60;100;100;100;100;100;100;0;100;50;100;50;50;1;1;2;1;2;1;1;1;2;0;1;2;2;1;0;1;NA;NA;NA;14;63,64;TRUE;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;0;1;1;0;1;100;100;50;0;100;100;0;50;50;50;50;91,67;87,5;100;83,33;100;100;75;100;100;50;100;100;100;100;100;2;2;1;2;2;2;1;2;2;2;2;2
"10.1371/journal.pbio.3001161";"https://doi.org/10.17605/OSF.IO/B5296";"OSF";"CC BY";"general-purpose repository";"Open Science Framework";56,25;85,71;50;50;40;100;100;0;100;50;100;0;0;25;100;50;0;1;1;2;0;2;0,5;1;0;2;0;0;1;2;1;0;0;14;22;63,64;10;45,45;NA;1;1;1;1;0;1;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;100;100;50;0;50;50;0;50;0;50;0;79,17;75;100;66,67;83,33;100;50;100;100;50;50;100;100;100;50;2;2;1;1;2;2;1;1;2;2;2;1
"10.1371/journal.pbio.3001177";"https://doi.org/10.17605/OSF.IO/W3JUH";"OSF";"NULL";"general-purpose repository";"Open Science Framework";41,67;71,43;33,33;50;20;100;50;0;100;33,33;100;0;0;25;0;50;0;1;1;1;0;2;0;1;0;2;0;0;1;0;1;0;0;13;22;59,09;10;45,45;NA;1;1;1;1;0;1;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;100;100;50;0;50;50;0;50;0;50;0;54,17;75;50;33,33;50;100;50;100;0;50;50;0;0;100;50;2;2;1;1;2;0;1;1;0;0;2;1
"10.1371/journal.pbio.3001177";"https://figshare.com/articles/dataset/Reporting_assessments_for_sample_of_110_preclinical_systematic_reviews_/14543924";"figshare";"CC BY";"general-purpose repository";"figshare";58,33;71,43;66,67;50;50;50;100;100;50;66,67;50;0;100;25;100;50;50;1;0;2;1;1;0;1;1;1;0;1;1;2;1;0;1;12;22;54,55;12;54,55;NA;0;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1;50;100;50;0;100;50;0;50;50;50;50;83,33;87,5;100;50;100;100;75;100;100;50;100;0;100;100;100;2;2;1;2;2;2;1;2;0;2;2;2
"10.1371/journal.pbio.3001384";"https://figshare.com/articles/dataset/This_file_contains_all_raw_data_underlying_the_figures_/17226515";"figshare";"CC BY";"general-purpose repository";"figshare";58,33;71,43;66,67;50;50;50;100;100;50;66,67;50;0;100;25;100;50;50;1;0;2;1;1;0;1;1;1;0;1;1;2;1;0;1;12;22;54,55;12;54,55;NA;0;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1;50;100;50;0;100;50;0;50;50;50;50;83,33;87,5;100;50;100;100;75;100;100;50;100;0;100;100;100;2;2;1;2;2;2;1;2;0;2;2;2
"10.1371/journal.pbio.3001468";"https://figshare.com/articles/dataset/Numerical_values_underlying_summary_data_displayed_in_figures_/17123529";"figshare";"CC BY";"general-purpose repository";"figshare";58,33;71,43;66,67;50;50;50;100;100;50;66,67;50;0;100;25;100;50;50;1;0;2;1;1;0;1;1;1;0;1;1;2;1;0;1;12;22;54,55;12;54,55;NA;0;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1;50;100;50;0;100;50;0;50;50;50;50;83,33;87,5;100;50;100;100;75;100;100;50;100;0;100;100;100;2;2;1;2;2;2;1;2;0;2;2;2
"10.1371/journal.pcbi.1008630";"https://dx.doi.org/10.5281/zenodo.4064148";"Zenodo";"CC BY";"general-purpose repository";"Zenodo";79,17;100;100;75;60;100;100;100;100;100;100;0;100;50;100;50;50;1;1;2;1;2;1;1;1;2;0;1;2;2;1;0;1;12;22;54,55;14;63,64;NA;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;0;1;1;0;1;100;100;50;0;100;100;0;50;50;50;50;79,17;75;100;66,67;83,33;100;50;100;100;50;50;100;100;100;50;2;2;1;1;2;2;1;1;2;2;2;1
"10.1371/journal.pcbi.1009515";"https://itbgit.biologie.hu-berlin.de/dorel/phosphoproteomics_tnb_perturbations/-/blob/master/210113.proteinGroups.filteredNormalz.txt?expanded=true&viewer=simple";"GitLab";"NULL";"general-purpose repository";"GitLab";22,92;35,71;33,33;25;10;50;25;0;50;33,33;50;0;0;0;0;50;0;1;0;0,5;0;1;0;1;0;1;0;0;0;0;1;0;0;10;22;45,45;7;31,82;NA;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;50;100;0;0;50;0;0;50;0;50;0;37,5;50;50;33,33;16,67;50;50;100;0;50;50;0;0;0;50;2;0;1;1;2;0;1;1;0;0;0;1
"10.1371/journal.pgen.1009201";"https://figshare.com/articles/dataset/All_somatic_SNVs_and_small_insertions_deletions_indels_detected_in_the_study_/13513223";"figshare";"CC BY";"general-purpose repository";"figshare";58,33;71,43;66,67;50;50;50;100;100;50;66,67;50;0;100;25;100;50;50;1;0;2;1;1;0;1;1;1;0;1;1;2;1;0;1;12;22;54,55;12;54,55;NA;0;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1;50;100;50;0;100;50;0;50;50;50;50;83,33;87,5;100;50;100;100;75;100;100;50;100;0;100;100;100;2;2;1;2;2;2;1;2;0;2;2;2
"10.1371/journal.pgen.1009308";"https://figshare.com/articles/dataset/NSC23766_treatment_of_wild_type_mouse_sperm_/13714335";"figshare";"CC BY";"general-purpose repository";"figshare";58,33;71,43;66,67;50;50;50;100;100;50;66,67;50;0;100;25;100;50;50;1;0;2;1;1;0;1;1;1;0;1;1;2;1;0;1;12;22;54,55;12;54,55;NA;0;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1;50;100;50;0;100;50;0;50;50;50;50;83,33;87,5;100;50;100;100;75;100;100;50;100;0;100;100;100;2;2;1;2;2;2;1;2;0;2;2;2
"10.1371/journal.pgen.1009619";"https://figshare.com/articles/dataset/Raw_data_of_the_lipidomics_experiments_including_sample_identifiers_/14831532";"figshare";"CC BY";"general-purpose repository";"figshare";58,33;71,43;66,67;50;50;50;100;100;50;66,67;50;0;100;25;100;50;50;1;0;2;1;1;0;1;1;1;0;1;1;2;1;0;1;12;22;54,55;6;27,27;NA;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;50;100;0;0;50;0;0;50;0;0;0;83,33;87,5;100;50;100;100;75;100;100;50;100;0;100;100;100;2;2;1;2;2;2;1;2;0;2;2;2
"10.1371/journal.pgen.1009679";"https://figshare.com/articles/dataset/Sources_of_the_CNV-case_cohorts_used_in_this_study_/15077835";"figshare";"CC BY";"general-purpose repository";"figshare";58,33;71,43;66,67;50;50;50;100;100;50;66,67;50;0;100;25;100;50;50;1;0;2;1;1;0;1;1;1;0;1;1;2;1;0;1;12;22;54,55;12;54,55;NA;0;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1;50;100;50;0;100;50;0;50;50;50;50;83,33;87,5;100;50;100;100;75;100;100;50;100;0;100;100;100;2;2;1;2;2;2;1;2;0;2;2;2
"10.1371/journal.pmed.1003750";"https://figshare.com/articles/journal_contribution/Data_basis_for_meta-analyses_and_meta-regression_analyses_/16415146";"figshare";"CC BY";"general-purpose repository";"figshare";18,75;35,71;33,33;0;10;50;25;0;50;33,33;0;0;0;0;0;50;0;1;0;0,5;0;1;0;1;0;0;0;0;0;0;1;0;0;9;22;40,91;6;27,27;NA;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;50;100;0;0;50;0;0;50;0;0;0;50;62,5;50;50;33,33;50;75;100;0;50;100;0;0;0;100;2;0;1;2;2;0;1;2;0;0;0;2
"10.1371/journal.pntd.0009277";"https://figshare.com/articles/dataset/Data_table_depicting_overall_typing_results_/14311834";"figshare";"CC BY";"general-purpose repository";"figshare";58,33;71,43;66,67;50;50;50;100;100;50;66,67;50;0;100;25;100;50;50;1;0;2;1;1;0;1;1;1;0;1;1;2;1;0;1;12;22;54,55;12;54,55;NA;0;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1;50;100;50;0;100;50;0;50;50;50;50;83,33;87,5;100;50;100;100;75;100;100;50;100;0;100;100;100;2;2;1;2;2;2;1;2;0;2;2;2
"10.1371/journal.pntd.0009863";"https://figshare.com/articles/dataset/Dataset_1_/16806162";"figshare";"CC BY";"general-purpose repository";"figshare";58,33;71,43;66,67;50;50;50;100;100;50;66,67;50;0;100;25;100;50;50;1;0;2;1;1;0;1;1;1;0;1;1;2;1;0;1;12;22;54,55;12;54,55;NA;0;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1;50;100;50;0;100;50;0;50;50;50;50;83,33;87,5;100;50;100;100;75;100;100;50;100;0;100;100;100;2;2;1;2;2;2;1;2;0;2;2;2
"10.1371/journal.pone.0245143";"https://doi.org/10.5281/zenodo.4049178";"Zenodo";"CC BY";"general-purpose repository";"Zenodo";66,67;85,71;66,67;75;50;100;50;100;100;66,67;100;0;100;50;100;50;0;1;1;1;1;2;1;1;0;2;0;1;2;2;1;0;0;15;22;68,18;12;54,55;NA;1;1;1;1;0;1;0;0;1;0;1;0;0;0;1;1;0;1;1;0;1;100;100;50;0;50;50;0;50;50;50;50;91,67;87,5;100;83,33;100;100;75;100;100;50;100;100;100;100;100;2;2;1;2;2;2;1;2;2;2;2;2
"10.1371/journal.pone.0245880";"https://figshare.com/articles/dataset/Tacrolimus_PK_model_dataset_/13630924";"figshare";"CC BY";"general-purpose repository";"figshare";58,33;71,43;66,67;50;50;50;100;100;50;66,67;50;0;100;25;100;50;50;1;0;2;1;1;0;1;1;1;0;1;1;2;1;0;1;12;22;54,55;12;54,55;NA;0;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1;50;100;50;0;100;50;0;50;50;50;50;83,33;87,5;100;50;100;100;75;100;100;50;100;0;100;100;100;2;2;1;2;2;2;1;2;0;2;2;2
"10.1371/journal.pone.0246819";"https://figshare.com/articles/dataset/Raw_data_/13866240";"figshare";"CC BY";"general-purpose repository";"figshare";58,33;71,43;66,67;50;50;50;100;100;50;66,67;50;0;100;25;100;50;50;1;0;2;1;1;0;1;1;1;0;1;1;2;1;0;1;12;22;54,55;12;54,55;NA;0;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1;50;100;50;0;100;50;0;50;50;50;50;83,33;87,5;100;50;100;100;75;100;100;50;100;0;100;100;100;2;2;1;2;2;2;1;2;0;2;2;2
